episode_title_pretty,episode_title,podcast_name,link_homepage,link_mp3,description,published
Kontroverzno z Domnom Kožarjem,KontroverznozDomnomKožarjem,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Kontroverzno-z-Domnom-Koarjem-e1j3kgd,https://anchor.fm/s/964a7d24/podcast/play/52596685/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-4-26%2Feeb7738a-8cf4-fc94-c463-6c42167eaa23.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Thu, 26 May 2022 13:35:33 GMT"
Štoparski vodnik po IT,ŠtoparskivodnikpoIT,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/toparski-vodnik-po-IT-e1iol80,https://anchor.fm/s/964a7d24/podcast/play/52236992/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-4-19%2F96611149-f498-ca56-a0a7-2e1b9f61c38a.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Thu, 19 May 2022 13:19:55 GMT"
"Python - kača, ki to ni!",Pythonkačakitoni,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Python---kaa--ki-to-ni-e1icr7u,https://anchor.fm/s/964a7d24/podcast/play/51849918/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-4-11%2F74fe9dd2-7a70-0b39-36b3-92de1375e1f2.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Wed, 11 May 2022 15:19:20 GMT"
Kubernetes (Demo),KubernetesDemo,Ogrodje,https://podcasters.spotify.com/pod/show/ogrodje/episodes/Kubernetes-Demo-e1i96bs,https://anchor.fm/s/964a7d24/podcast/play/51730236/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2022-4-9%2F72c09270-5d3c-f93c-4812-b880094e8301.mp3,"Ogrodje je sproščen, tehnično razvijalski podcast. Modrosti, zablode in izkušnje serijsko.","Wed, 11 May 2022 14:08:08 GMT"
Žiga Berce: Udemy in ustvarjanje spletnih tečajev,ŽigaBerceUdemyinustvarjanjespletnihtečajev,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/iga-Berce-Udemy-in-ustvarjanje-spletnih-teajev-e23t6o9,https://anchor.fm/s/1c9278b0/podcast/play/70211785/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-4-11%2F3fb69c39-e5ca-3c6e-ced2-172e7fb3082b.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 12 May 2023 03:00:18 GMT"
Karin Poravne: Girlboss podjetnica,KarinPoravneGirlbosspodjetnica,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Karin-Poravne-Girlboss-podjetnica-e23eoc9,https://anchor.fm/s/1c9278b0/podcast/play/69738313/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-4-4%2Fcbf9e6dc-5117-5e2c-b980-4c01ea77d311.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 05 May 2023 03:00:28 GMT"
Tim Berce in Maja Voje: A si ready za čisto svoj biznis?,TimBerceinMajaVojeAsireadyzačistosvojbiznis,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Tim-Berce-in-Maja-Voje-A-si-ready-za-isto-svoj-biznis-e230pfn,https://anchor.fm/s/1c9278b0/podcast/play/69280695/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-3-25%2Fa5c4f7df-a233-fa24-cb76-af57087bb4cd.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Wed, 26 Apr 2023 03:00:48 GMT"
Maja Voje: Fokus,MajaVojeFokus,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Maja-Voje-Fokus-e22o640,https://anchor.fm/s/1c9278b0/podcast/play/68998720/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-3-20%2F91d75a6e-2340-2ab5-127a-773d3c164482.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 21 Apr 2023 03:00:12 GMT"
Tilen Krivec: Razvoj znamk za e-commerce,TilenKrivecRazvojznamkzaecommerce,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Tilen-Krivec-Razvoj-znamk-za-e-commerce-e22b0hs,https://anchor.fm/s/1c9278b0/podcast/play/68567036/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-3-13%2Fb834ff0b-672b-3020-aede-926bae503b3b.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 14 Apr 2023 03:00:14 GMT"
Anže in Žiga Svetlik: Branding in design,AnžeinŽigaSvetlikBrandingindesign,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Ane-in-iga-Svetlik-Branding-in-design-e21t6a0,https://anchor.fm/s/1c9278b0/podcast/play/68114176/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-3-6%2Fff0fc5b3-414d-2b77-94df-f35c61d6192c.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 07 Apr 2023 03:00:05 GMT"
Domen Čot: Google oglaševanje,DomenČotGoogleoglaševanje,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Domen-ot-Google-oglaevanje-e21dr3h,https://anchor.fm/s/1c9278b0/podcast/play/67611185/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-2-30%2F98db1d2f-fdb7-9cd3-a83a-22a223cad187.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 31 Mar 2023 03:00:53 GMT"
"Luka Trekman: (Nazaj) v formo - prehrana, mindset, gibanje",LukaTrekmanNazajvformoprehranamindsetgibanje,Reneseansa - Casual Friday Podcast,https://podcasters.spotify.com/pod/show/reneseansa/episodes/Luka-Trekman-Nazaj-v-formo---prehrana--mindset--gibanje-e210lsj,https://anchor.fm/s/1c9278b0/podcast/play/67179859/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2023-2-23%2Ff9e74cd4-2569-a337-10d6-ed25ae00b43a.mp3,"Reneseansa je podkast za vse poznavalce trendov, tehnološke navdušence, prodorne mislece ter neumorne iskalce novega. Z vami sem Maja Voje in skupaj gremo vsak petek na pogovor v svet novih priložnosti, idej in odkrivanja lastnih potencialov. Odložite opravke, odklopite se od obveznosti in vklopite na stežaj odprto radovednost.

Oblikovanje naslovnice: Romina Kavčič","Fri, 24 Mar 2023 04:00:29 GMT"
